City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windiness,Country
Banjar Selat,-42.91,147.35,63.81,68,75,13.87,AU
Kemberg,54.35,10.18,41.29,81,75,16.11,DE
Roncola,18.55,31.85,63.45,36,100,11.77,SD
Liangshuijing,49.65,7.62,40.95,74,40,17.22,DE
Berßel,47.84,19.0,51.69,81,100,1.12,HU
Asturias,48.91,-112.32,24.1,53,40,5.82,US
Engertshofen,47.62,11.15,42.03,86,100,23.04,DE
Çermik,60.24,23.72,32.9,86,75,13.87,FI
Campinho,39.23,-7.4,50.0,91,98,1.99,PT
Lákkoma,41.49,-75.71,43.56,70,90,6.93,US
Arrouquelas,-25.07,-65.49,69.8,88,100,5.82,AR
Nokha,50.59,17.04,42.49,75,40,9.17,PL
Favara,-5.18,103.94,82.44,61,44,0.36,ID
Saint-Martin-l'Aiguillon,45.52,8.44,52.0,93,75,1.12,IT
Les Salles-du-Gardon,47.84,-2.64,41.43,86,0,8.05,FR
Bungowannah,-6.24,106.51,85.44,74,20,6.93,ID
Pajoreja,48.21,14.38,46.49,81,75,17.22,AT
Staumühle,46.83,40.75,40.96,71,0,9.55,RU
Iron Mountain,41.83,-70.83,42.12,75,90,9.17,US
Itapetinga,45.72,-93.17,34.29,59,90,11.41,US
